Player Name,Games Played,Total Score,Average SuperCoach Score
"Nick Daicos",24,2712,113.0
"Patrick Cripps",23,2576,112.0
"Zak Butters",23,2553,111.0
"Marcus Bontempelli",21,2310,110.0
"Isaac Heeney",22,2398,109.0
"Lachie Neale",22,2376,108.0
"Noah Anderson",23,2484,108.0
"Matt Rowell",22,2354,107.0
"Chad Warner",23,2461,107.0
"Caleb Serong",24,2568,107.0
"Errol Gulden",23,2438,106.0
"Jack Sinclair",21,2226,106.0
"Andrew Brayshaw",22,2310,105.0
"Christian Petracca",20,2100,105.0
"Tom Green",22,2288,104.0
"Hayden Young",23,2392,104.0
"Sam Walsh",22,2266,103.0
"Rowan Marshall",20,2060,103.0
"Jordan Dawson",22,2266,103.0
"Tim English",21,2142,102.0
